experiment,target_project,seed,model,selected_candidate,selection_mode,threshold,selection_score,avg_precision,roc_auc,mcc,f1,balanced_accuracy,precision,recall,brier,precision_at_10pct,recall_at_10pct,lift_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct
within_project,CM1,7,LR_std_C0.1,LR_std_C0.1,single_candidate_balanced_threshold,0.731837,0.399981182974777,0.3299670493951137,0.7016666666666667,0.24459979523511427,0.3157894736842105,0.6166666666666667,0.3333333333333333,0.3,0.16063454214168377,0.3,0.3,2.9999999999999996,0.3,0.6,2.9999999999999996
within_project,CM1,7,LR_std_C1,LR_std_C1,single_candidate_balanced_threshold,0.773416,0.39867594658647537,0.40516356446112445,0.7016666666666667,0.3004803573066879,0.35294117647058826,0.6277777777777778,0.42857142857142855,0.3,0.15079204783081215,0.3,0.3,2.9999999999999996,0.25,0.5,2.5
within_project,CM1,7,DT_leaf5,DT_leaf5,single_candidate_balanced_threshold,0.218,0.20807139311938952,0.13638655462184873,0.6144444444444445,0.153704111387796,0.25,0.5888888888888889,0.21428571428571427,0.3,0.11417779097304942,0.1,0.1,1.0,0.2,0.4,2.0
within_project,CM1,7,ET_leaf5,ET_leaf5,single_candidate_balanced_threshold,0.641,0.42962126774816156,0.16133823665863872,0.645,-0.07647191129018725,0.0,0.4722222222222222,0.0,0.0,0.15281858666045672,0.2,0.2,2.0,0.15,0.3,1.4999999999999998
within_project,CM1,7,AQRPE_v2_balanced,ET_leaf5,balanced_objective,0.641,0.42962126774816156,0.16133823665863872,0.645,-0.07647191129018725,0.0,0.4722222222222222,0.0,0.0,0.15281858666045672,0.2,0.2,2.0,0.15,0.3,1.4999999999999998
within_project,CM1,7,AQRPE_v2_rank,LR_std_C0.1,rank_objective_fixed_threshold,0.5,0.3433765928642311,0.3299670493951137,0.7016666666666667,0.3333333333333333,0.4,0.7222222222222222,0.3,0.6,0.16063454214168377,0.3,0.3,2.9999999999999996,0.3,0.6,2.9999999999999996
within_project,CM1,7,AQRPE_v2_mcc,ET_leaf5,mcc_objective,0.641,0.36673230396086576,0.16133823665863872,0.645,-0.07647191129018725,0.0,0.4722222222222222,0.0,0.0,0.15281858666045672,0.2,0.2,2.0,0.15,0.3,1.4999999999999998
within_project,CM1,7,AQRPE_v2_soft_top3,ET_leaf5|LR_std_C0.1|LR_std_C1,soft_top3_balanced_objective,0.7115,0.41431201118204586,0.3278839843462741,0.6938888888888888,0.16983672369508443,0.23529411764705882,0.5722222222222222,0.2857142857142857,0.2,0.14958407340218352,0.3,0.3,2.9999999999999996,0.25,0.5,2.5
cross_project,CM1,7,LR_std_C0.1,LR_std_C0.1,single_candidate_balanced_threshold,0.531921,0.40457091218979413,0.2532772181226274,0.7553974819326393,0.23310679352639038,0.30275229357798167,0.6852870324076179,0.1952662721893491,0.673469387755102,0.24412744725921806,0.28,0.2857142857142857,2.845714285714286,0.26,0.5306122448979592,2.642448979591837
cross_project,CM1,7,LR_std_C1,LR_std_C1,single_candidate_balanced_threshold,0.5235,0.4017106069829111,0.25532599532596556,0.7646243352574883,0.20771191623129961,0.2809917355371901,0.6698786418799145,0.17616580310880828,0.6938775510204082,0.2511519496355059,0.28,0.2857142857142857,2.845714285714286,0.25,0.5102040816326531,2.5408163265306123
