Model,MCC,AP,F1,BA,P@10%,R@10%
AQRPE-bal,0.305 (0.136),0.404 (0.133),0.403 (0.133),0.668 (0.072),0.438 (0.184),0.336 (0.118)
AQRPE-MCC,0.308 (0.136),0.404 (0.133),0.401 (0.133),0.665 (0.073),0.438 (0.184),0.336 (0.118)
AQRPE-rank,0.356 (0.097),0.456 (0.116),0.448 (0.088),0.724 (0.066),0.478 (0.180),0.372 (0.121)
Soft-top-3,0.340 (0.106),0.440 (0.111),0.424 (0.096),0.695 (0.068),0.458 (0.160),0.361 (0.126)
DT-L5,0.247 (0.100),0.296 (0.102),0.359 (0.092),0.644 (0.062),0.380 (0.141),0.295 (0.102)
ET-L5,0.314 (0.159),0.421 (0.150),0.407 (0.138),0.674 (0.091),0.452 (0.212),0.346 (0.142)
LR-C0.1,0.318 (0.108),0.416 (0.132),0.396 (0.112),0.687 (0.073),0.446 (0.193),0.334 (0.078)
LR-C1,0.308 (0.097),0.413 (0.117),0.389 (0.108),0.690 (0.071),0.456 (0.195),0.341 (0.078)
