experiment,model,avg_precision_mean,avg_precision_std,avg_precision_count,roc_auc_mean,roc_auc_std,roc_auc_count,mcc_mean,mcc_std,mcc_count,f1_mean,f1_std,f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,brier_mean,brier_std,brier_count,precision_at_10pct_mean,precision_at_10pct_std,precision_at_10pct_count,recall_at_10pct_mean,recall_at_10pct_std,recall_at_10pct_count,lift_at_10pct_mean,lift_at_10pct_std,lift_at_10pct_count,precision_at_20pct_mean,precision_at_20pct_std,precision_at_20pct_count,recall_at_20pct_mean,recall_at_20pct_std,recall_at_20pct_count,lift_at_20pct_mean,lift_at_20pct_std,lift_at_20pct_count,rank_mcc_mean,rank_avg_precision_mean,rank_f1_mean,rank_balanced_accuracy_mean,rank_precision_at_10pct_mean,rank_recall_at_10pct_mean,rank_lift_at_10pct_mean,rank_brier_mean
cross_project,AQRPE_v2_balanced,0.3498923038431222,0.15062322499871741,25,0.7474561086120572,0.06272394611527689,25,0.28084565458541155,0.10771044402131058,25,0.37998908520293684,0.11636325724865283,25,0.6681241998163543,0.051570396285663615,25,0.32835096742896774,0.13770552976571077,25,0.5027636913124139,0.1085794562270028,25,0.162477957762774,0.022020967643541504,25,0.41429827209854364,0.17368356034788068,25,0.3043154711359849,0.04598393717324557,25,3.0287011833166115,0.4456414256243819,25,0.331346536435627,0.14073443009357772,25,0.48322284332564325,0.06821639984647997,25,2.410069540536179,0.3354536578722911,25,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
cross_project,AQRPE_v2_mcc,0.3498923038431222,0.15062322499871741,25,0.7474561086120572,0.06272394611527689,25,0.27975481294638943,0.10903191872890154,25,0.37557950302111215,0.11619580367354251,25,0.6504902075754211,0.05412418316121698,25,0.35801053887748696,0.13366172651040514,25,0.4236569917803874,0.12405948428854419,25,0.162477957762774,0.022020967643541504,25,0.41429827209854364,0.17368356034788068,25,0.3043154711359849,0.04598393717324557,25,3.0287011833166115,0.4456414256243819,25,0.331346536435627,0.14073443009357772,25,0.48322284332564325,0.06821639984647997,25,2.410069540536179,0.3354536578722911,25,6.0,4.0,7.0,7.0,1.0,1.0,1.0,1.0
cross_project,AQRPE_v2_rank,0.3498923038431222,0.15062322499871741,25,0.7474561086120572,0.06272394611527689,25,0.2772119411964993,0.10949844698602886,25,0.37940782951460483,0.1177137909434606,25,0.6677759307545889,0.04987819323834663,25,0.32162467166935804,0.13852650362560612,25,0.5132214627244494,0.09247584884225286,25,0.162477957762774,0.022020967643541504,25,0.41429827209854364,0.17368356034788068,25,0.3043154711359849,0.04598393717324557,25,3.0287011833166115,0.4456414256243819,25,0.331346536435627,0.14073443009357772,25,0.48322284332564325,0.06821639984647997,25,2.410069540536179,0.3354536578722911,25,7.0,4.0,6.0,6.0,1.0,1.0,1.0,1.0
cross_project,AQRPE_v2_soft_top3,0.3592725146718135,0.15745226134751736,25,0.7605608338345806,0.05975894218542861,25,0.2934628441539924,0.11317234750367225,25,0.39333498493422353,0.1224095762139819,25,0.6859149204073638,0.05649757300557065,25,0.3096467184234933,0.12593518079388363,25,0.5913460514451702,0.13509708309030688,25,0.1811506536311555,0.03142016147572928,25,0.4000869820790289,0.19187373730140556,25,0.2839874282409348,0.04462409026400813,25,2.82583897152621,0.42762928356912483,25,0.3433253830640732,0.1433399430014604,25,0.4968474631417997,0.0535494167991287,25,2.4781600177149032,0.2618516811783201,25,1.0,1.0,1.0,1.0,6.0,5.0,5.0,6.0
cross_project,DT_leaf5,0.20927069496261422,0.08205045851927761,25,0.5810741956135221,0.04943649060594766,25,0.12973729643332016,0.06034888025166326,25,0.2627962060686976,0.07719308435735767,25,0.5794342842444317,0.03854061287964999,25,0.22311940406456154,0.09408642359733864,25,0.3970863544991524,0.12720490764905742,25,0.1718105055066248,0.02741701509747864,25,0.28672316582013285,0.12807173334349617,25,0.20804130045590663,0.04513263639966695,25,2.0709771090160483,0.4455020473922639,25,0.2333565928574081,0.09895019090846055,25,0.3367545180992026,0.06540208998998198,25,1.6799281746349306,0.3255782313752,25,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0
cross_project,ET_leaf5,0.3498923038431222,0.15062322499871741,25,0.7474561086120572,0.06272394611527689,25,0.28084565458541155,0.10771044402131058,25,0.37998908520293684,0.11636325724865283,25,0.6681241998163543,0.051570396285663615,25,0.32835096742896774,0.13770552976571077,25,0.5027636913124139,0.1085794562270028,25,0.162477957762774,0.022020967643541507,25,0.41429827209854364,0.17368356034788068,25,0.3043154711359849,0.04598393717324557,25,3.0287011833166115,0.4456414256243819,25,0.331346536435627,0.14073443009357772,25,0.48322284332564325,0.06821639984647997,25,2.410069540536179,0.3354536578722911,25,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
cross_project,LR_std_C0.1,0.35574045802519527,0.16105674043647963,25,0.748598347290524,0.06332540882496068,25,0.2868704501388703,0.12303129013516335,25,0.38732060868738244,0.1329318532977123,25,0.6743204292172745,0.06597573318695439,25,0.31814081778375186,0.12737064245569912,25,0.5309749441115064,0.16198632563808552,25,0.1957941372492945,0.03772040233693507,25,0.40212978242356134,0.19695736302478212,25,0.28259640080930987,0.04659252538002844,25,2.811874255125772,0.44724248923391574,25,0.34705277198782203,0.15017652687597474,25,0.49924646436676684,0.05710192242863131,25,2.4901041123250436,0.27954871256214553,25,2.0,3.0,2.0,3.0,5.0,6.0,6.0,7.0
cross_project,LR_std_C1,0.35633862030249397,0.16043184500095822,25,0.7528190678340186,0.06431745620070425,25,0.2837370603313144,0.12944301374289324,25,0.38412136293093324,0.14035851395362386,25,0.6748976634908462,0.07077139230599665,25,0.30879778838994837,0.12865143099341408,25,0.5535528573567823,0.18724448052260995,25,0.19666931732625892,0.04137983670215825,25,0.4000764835621392,0.1962038853117194,25,0.2806106806963309,0.04697008083326749,25,2.792169094259206,0.4517843392334395,25,0.34425836024754786,0.15284344698531568,25,0.4916708333763291,0.05844283059015636,25,2.4523112381419043,0.2863308864822568,25,3.0,2.0,3.0,2.0,7.0,7.0,7.0,8.0
within_project,AQRPE_v2_balanced,0.4042751378585928,0.1331996898682097,25,0.7650585808606384,0.07876213378948207,25,0.30546061739373653,0.1361504406650259,25,0.40251697770606043,0.13320734970120804,25,0.6683947287335122,0.07231721088406808,25,0.3675822000201696,0.13927757346887848,25,0.4758253464666766,0.16527814466293145,25,0.14861168499316438,0.03780157310461853,25,0.4382450801006613,0.18425656147973385,25,0.3356572042367767,0.1177224108645913,25,3.275840529804339,1.1154724129772706,25,0.350600488210407,0.12651183901474428,25,0.531118914339817,0.14020642493018765,25,2.6413168852806863,0.6848539251215409,25,7.0,6.0,4.0,6.0,6.0,5.0,5.0,4.0
within_project,AQRPE_v2_mcc,0.4042751378585928,0.1331996898682097,25,0.7650585808606384,0.07876213378948207,25,0.30838367091337787,0.13568569481022574,25,0.40105696353829673,0.13334410033862143,25,0.6653628632754907,0.07309307745730372,25,0.3813788663604823,0.14259748100075068,25,0.4569442940274294,0.16841765591875316,25,0.14861168499316435,0.03780157310461853,25,0.4382450801006613,0.18425656147973385,25,0.3356572042367767,0.1177224108645913,25,3.275840529804339,1.1154724129772706,25,0.350600488210407,0.12651183901474428,25,0.531118914339817,0.14020642493018765,25,2.6413168852806863,0.6848539251215409,25,5.0,6.0,5.0,7.0,6.0,5.0,5.0,3.0
