Model,MCC,AP,F1,BA,P@10%,R@10%
AQRPE-bal,0.281 (0.108),0.350 (0.151),0.380 (0.116),0.668 (0.052),0.414 (0.174),0.304 (0.046)
AQRPE-MCC,0.280 (0.109),0.350 (0.151),0.376 (0.116),0.650 (0.054),0.414 (0.174),0.304 (0.046)
AQRPE-rank,0.277 (0.109),0.350 (0.151),0.379 (0.118),0.668 (0.050),0.414 (0.174),0.304 (0.046)
Soft-top-3,0.293 (0.113),0.359 (0.157),0.393 (0.122),0.686 (0.056),0.400 (0.192),0.284 (0.045)
DT-L5,0.130 (0.060),0.209 (0.082),0.263 (0.077),0.579 (0.039),0.287 (0.128),0.208 (0.045)
ET-L5,0.281 (0.108),0.350 (0.151),0.380 (0.116),0.668 (0.052),0.414 (0.174),0.304 (0.046)
LR-C0.1,0.287 (0.123),0.356 (0.161),0.387 (0.133),0.674 (0.066),0.402 (0.197),0.283 (0.047)
LR-C1,0.284 (0.129),0.356 (0.160),0.384 (0.140),0.675 (0.071),0.400 (0.196),0.281 (0.047)
