experiment,target_project,seed,model,selected_candidate,selection_mode,threshold,selection_score,avg_precision,roc_auc,mcc,f1,balanced_accuracy,precision,recall,brier,precision_at_10pct,recall_at_10pct,lift_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct
within_project,CM1,7,LR_std_C0.1,LR_std_C0.1,single_candidate_balanced_threshold,0.731837,0.399981182974777,0.3299670493951137,0.7016666666666667,0.24459979523511427,0.3157894736842105,0.6166666666666667,0.3333333333333333,0.3,0.16063454214168382,0.3,0.3,2.9999999999999996,0.3,0.6,2.9999999999999996
within_project,CM1,7,LR_std_C1,LR_std_C1,single_candidate_balanced_threshold,0.773416,0.39867594658647626,0.40516356446112445,0.7016666666666667,0.3004803573066879,0.35294117647058826,0.6277777777777778,0.42857142857142855,0.3,0.1507920478307733,0.3,0.3,2.9999999999999996,0.25,0.5,2.5
within_project,CM1,7,DT_leaf5,DT_leaf5,single_candidate_balanced_threshold,0.218,0.20807139311938952,0.13638655462184873,0.6144444444444445,0.153704111387796,0.25,0.5888888888888889,0.21428571428571427,0.3,0.11417779097304942,0.1,0.1,1.0,0.2,0.4,2.0
within_project,CM1,7,ET_leaf5,ET_leaf5,single_candidate_balanced_threshold,0.641,0.4296927558544454,0.15905222244675243,0.6427777777777778,-0.06804138174397717,0.0,0.4777777777777778,0.0,0.0,0.15252812607781427,0.2,0.2,2.0,0.15,0.3,1.4999999999999998
within_project,CM1,7,AQRPE_v2_balanced,ET_leaf5,balanced_objective,0.641,0.4296927558544454,0.15905222244675243,0.6427777777777778,-0.06804138174397717,0.0,0.4777777777777778,0.0,0.0,0.15252812607781427,0.2,0.2,2.0,0.15,0.3,1.4999999999999998
within_project,CM1,7,AQRPE_v2_rank,LR_std_C0.1,rank_objective_fixed_threshold,0.5,0.3433765928642311,0.3299670493951137,0.7016666666666667,0.3333333333333333,0.4,0.7222222222222222,0.3,0.6,0.16063454214168382,0.3,0.3,2.9999999999999996,0.3,0.6,2.9999999999999996
within_project,CM1,7,AQRPE_v2_mcc,ET_leaf5,mcc_objective,0.641,0.36673230396086576,0.15905222244675243,0.6427777777777778,-0.06804138174397717,0.0,0.4777777777777778,0.0,0.0,0.15252812607781427,0.2,0.2,2.0,0.15,0.3,1.4999999999999998
within_project,CM1,7,AQRPE_v2_soft_top3,ET_leaf5|LR_std_C0.1|LR_std_C1,soft_top3_balanced_objective,0.7115,0.41431599634224003,0.3275803406215777,0.6916666666666667,0.16983672369508443,0.23529411764705882,0.5722222222222222,0.2857142857142857,0.2,0.14949392792167088,0.3,0.3,2.9999999999999996,0.25,0.5,2.5
within_project,JM1,7,LR_std_C0.1,LR_std_C0.1,single_candidate_balanced_threshold,0.5,0.38015008074271234,0.38311643817635144,0.712782200252509,0.24392345230582235,0.3865276663993585,0.654466521152982,0.2917675544794189,0.5724465558194775,0.20644587161348799,0.49056603773584906,0.3087885985748218,3.077398825796621,0.3648393194706994,0.4584323040380047,2.2886951133541973
within_project,JM1,7,LR_std_C1,LR_std_C1,single_candidate_balanced_threshold,0.51626,0.3799337553935896,0.3790811225656022,0.7105181785110526,0.24322412259043047,0.3853989813242784,0.6502268301555713,0.2998678996036988,0.5391923990498813,0.20616768443963743,0.4867924528301887,0.30641330166270786,3.053726527136647,0.3591682419659735,0.4513064133016627,2.2531195416440286
within_project,JM1,7,DT_leaf5,DT_leaf5,single_candidate_balanced_threshold,0.124,0.3506341533302524,0.2681856917222201,0.6350104855449273,0.19445342763688384,0.3515625,0.6244281098200338,0.2619324796274738,0.5344418052256532,0.16624729763278845,0.39245283018867927,0.24703087885985747,2.461919060637297,0.31190926275992437,0.3919239904988123,1.956656444059288
within_project,JM1,7,ET_leaf5,ET_leaf5,single_candidate_balanced_threshold,0.4765,0.4183490088504131,0.42496996479258664,0.754745244056408,0.3016615688717156,0.4288164665523156,0.6854256275277653,0.33557046979865773,0.5938242280285035,0.1676259723372398,0.5169811320754717,0.3254156769596199,3.243104916416439,0.387523629489603,0.48693586698337293,2.430997400194873
within_project,JM1,7,AQRPE_v2_balanced,ET_leaf5,balanced_objective,0.4765,0.4183490088504131,0.42496996479258664,0.754745244056408,0.3016615688717156,0.4288164665523156,0.6854256275277653,0.33557046979865773,0.5938242280285035,0.1676259723372398,0.5169811320754717,0.3254156769596199,3.243104916416439,0.387523629489603,0.48693586698337293,2.430997400194873
within_project,JM1,7,AQRPE_v2_rank,ET_leaf5,rank_objective_fixed_threshold,0.5,0.3656804174029186,0.42496996479258664,0.754745244056408,0.30505757816974277,0.4308263695450325,0.68003894630973,0.35365853658536583,0.5510688836104513,0.1676259723372398,0.5169811320754717,0.3254156769596199,3.243104916416439,0.387523629489603,0.48693586698337293,2.430997400194873
within_project,JM1,7,AQRPE_v2_mcc,ET_leaf5,mcc_objective,0.4765,0.30028604364563927,0.42496996479258664,0.754745244056408,0.3016615688717156,0.4288164665523156,0.6854256275277653,0.33557046979865773,0.5938242280285035,0.1676259723372398,0.5169811320754717,0.3254156769596199,3.243104916416439,0.387523629489603,0.48693586698337293,2.430997400194873
within_project,JM1,7,AQRPE_v2_soft_top3,ET_leaf5|LR_std_C0.1|LR_std_C1,soft_top3_balanced_objective,0.491861,0.39948286501441144,0.40260042753674097,0.7385520318418181,0.27658933912226424,0.4101694915254237,0.6709694849243544,0.3188405797101449,0.5748218527315915,0.18972258561109173,0.5018867924528302,0.3159144893111639,3.148415721776543,0.3742911153119093,0.47030878859857483,2.347987732871146
within_project,KC1,7,LR_std_C0.1,LR_std_C0.1,single_candidate_balanced_threshold,0.730852,0.5104173073451738,0.3828772374475123,0.7346692523163112,0.28403455228917884,0.3669724770642202,0.6202327084680026,0.45454545454545453,0.3076923076923077,0.19234960935531592,0.46511627906976744,0.3076923076923077,3.0196779964221823,0.35294117647058826,0.46153846153846156,2.2914027149321265
within_project,KC1,7,LR_std_C1,LR_std_C1,single_candidate_balanced_threshold,0.7115,0.491314490226896,0.3776700519796842,0.7311355311355312,0.29390149791472264,0.3898305084745763,0.6349062702003878,0.4339622641509434,0.35384615384615387,0.1907904956019068,0.4883720930232558,0.3230769230769231,3.170661896243291,0.32941176470588235,0.4307692307692308,2.1386425339366513
within_project,KC1,7,DT_leaf5,DT_leaf5,single_candidate_balanced_threshold,0.641,0.49348853444065466,0.26207749223778304,0.6305322128851542,0.2685810743328312,0.35185185185185186,0.6125404007756949,0.4418604651162791,0.2923076923076923,0.1700382950606149,0.4418604651162791,0.2923076923076923,2.8686940966010734,0.3058823529411765,0.4,1.9858823529411764
within_project,KC1,7,ET_leaf5,ET_leaf5,single_candidate_balanced_threshold,0.5235,0.5188363375672044,0.39399467171936986,0.7447317388493859,0.2595065576558708,0.3902439024390244,0.6523163111398406,0.32323232323232326,0.49230769230769234,0.16769182463968663,0.46511627906976744,0.3076923076923077,3.0196779964221823,0.32941176470588235,0.4307692307692308,2.1386425339366513
within_project,KC1,7,AQRPE_v2_balanced,ET_leaf5,balanced_objective,0.5235,0.5188363375672044,0.39399467171936986,0.7447317388493859,0.2595065576558708,0.3902439024390244,0.6523163111398406,0.32323232323232326,0.49230769230769234,0.1676918246396866,0.46511627906976744,0.3076923076923077,3.0196779964221823,0.32941176470588235,0.4307692307692308,2.1386425339366513
within_project,KC1,7,AQRPE_v2_rank,ET_leaf5,rank_objective_fixed_threshold,0.5,0.4997478677804201,0.39399467171936986,0.7447317388493859,0.28184291488238405,0.4090909090909091,0.6718810601163543,0.32432432432432434,0.5538461538461539,0.1676918246396866,0.46511627906976744,0.3076923076923077,3.0196779964221823,0.32941176470588235,0.4307692307692308,2.1386425339366513
within_project,KC1,7,AQRPE_v2_mcc,LR_std_C0.1,mcc_objective,0.730852,0.42913052772074445,0.3828772374475123,0.7346692523163112,0.28403455228917884,0.3669724770642202,0.6202327084680026,0.45454545454545453,0.3076923076923077,0.19234960935531592,0.46511627906976744,0.3076923076923077,3.0196779964221823,0.35294117647058826,0.46153846153846156,2.2914027149321265
within_project,KC1,7,AQRPE_v2_soft_top3,ET_leaf5|LR_std_C0.1|DT_leaf5,soft_top3_balanced_objective,0.594,0.5323639895188701,0.38393830271801477,0.7341521223874166,0.2442891324274155,0.35,0.613919413919414,0.38181818181818183,0.3230769230769231,0.15231949767685446,0.3953488372093023,0.26153846153846155,2.566726296958855,0.35294117647058826,0.46153846153846156,2.2914027149321265
within_project,KC2,7,LR_std_C0.1,LR_std_C0.1,single_candidate_balanced_threshold,0.609777,0.6790867685241465,0.6552446501578482,0.7732749178532312,0.4249726177437021,0.5454545454545454,0.7124863088718509,0.5454545454545454,0.5454545454545454,0.1657337219820212,0.8181818181818182,0.4090909090909091,3.9049586776859506,0.5238095238095238,0.5,2.5
within_project,KC2,7,LR_std_C1,LR_std_C1,single_candidate_balanced_threshold,0.503947,0.6881746654225529,0.6362350822570983,0.7732749178532311,0.3708873012228987,0.5185185185185185,0.7097480832420591,0.4375,0.6363636363636364,0.16557869144687506,0.8181818181818182,0.4090909090909091,3.9049586776859506,0.5714285714285714,0.5454545454545454,2.727272727272727
within_project,KC2,7,DT_leaf5,DT_leaf5,single_candidate_balanced_threshold,0.218,0.37639593262201954,0.4393084547848075,0.583789704271632,0.23656107737687027,0.4,0.6202081051478642,0.391304347826087,0.4090909090909091,0.1817061422581521,0.6363636363636364,0.3181818181818182,3.037190082644628,0.42857142857142855,0.4090909090909091,2.0454545454545454
within_project,KC2,7,ET_leaf5,ET_leaf5,single_candidate_balanced_threshold,0.558955,0.7222975314163816,0.6702496264214215,0.7760131434830231,0.3931649624664154,0.5306122448979592,0.7111171960569551,0.48148148148148145,0.5909090909090909,0.16105818408130432,0.9090909090909091,0.45454545454545453,4.338842975206611,0.5714285714285714,0.5454545454545454,2.727272727272727
within_project,KC2,7,AQRPE_v2_balanced,ET_leaf5,balanced_objective,0.558955,0.7222975314163816,0.6702496264214215,0.7760131434830231,0.3931649624664154,0.5306122448979592,0.7111171960569551,0.48148148148148145,0.5909090909090909,0.16105818408130432,0.9090909090909091,0.45454545454545453,4.338842975206611,0.5714285714285714,0.5454545454545454,2.727272727272727
within_project,KC2,7,AQRPE_v2_rank,LR_std_C0.1,rank_objective_fixed_threshold,0.5,0.5686727386340771,0.6552446501578482,0.7732749178532312,0.3708873012228987,0.5185185185185185,0.7097480832420591,0.4375,0.6363636363636364,0.1657337219820212,0.8181818181818182,0.4090909090909091,3.9049586776859506,0.5238095238095238,0.5,2.5
within_project,KC2,7,AQRPE_v2_mcc,ET_leaf5,mcc_objective,0.558955,0.7034650053120127,0.6702496264214215,0.7760131434830231,0.3931649624664154,0.5306122448979592,0.7111171960569551,0.48148148148148145,0.5909090909090909,0.16105818408130426,0.9090909090909091,0.45454545454545453,4.338842975206611,0.5714285714285714,0.5454545454545454,2.727272727272727
