experiment,model,avg_precision_mean,avg_precision_std,avg_precision_count,roc_auc_mean,roc_auc_std,roc_auc_count,mcc_mean,mcc_std,mcc_count,f1_mean,f1_std,f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,brier_mean,brier_std,brier_count,precision_at_10pct_mean,precision_at_10pct_std,precision_at_10pct_count,recall_at_10pct_mean,recall_at_10pct_std,recall_at_10pct_count,lift_at_10pct_mean,lift_at_10pct_std,lift_at_10pct_count,precision_at_20pct_mean,precision_at_20pct_std,precision_at_20pct_count,recall_at_20pct_mean,recall_at_20pct_std,recall_at_20pct_count,lift_at_20pct_mean,lift_at_20pct_std,lift_at_20pct_count,rank_mcc_mean,rank_avg_precision_mean,rank_f1_mean,rank_balanced_accuracy_mean,rank_precision_at_10pct_mean,rank_recall_at_10pct_mean,rank_lift_at_10pct_mean,rank_brier_mean
cross_project,AQRPE_v2_balanced,0.4936115046490671,0.15199230514743303,4,0.5873333333333333,0.23814421401047448,4,0.2531530170438062,0.2933149516790284,4,0.3539989264626946,0.40898847885740297,4,0.6283333333333333,0.14908362058229577,4,0.2975113122171946,0.34558379527006095,4,0.44166666666666665,0.5116241386596798,4,0.262778447317872,0.058077514950114484,4,0.5625,0.1613743060919757,4,0.15,0.04303314829119352,4,1.5,0.43033148291193524,4,0.46875,0.1875,4,0.24999999999999997,0.09999999999999999,4,1.25,0.49999999999999994,4,4.0,6.0,5.0,3.0,5.0,5.0,5.0,4.0
cross_project,AQRPE_v2_mcc,0.5022168520288384,0.16191813210223155,4,0.589,0.24000787024132725,4,0.24079023826590787,0.28155966826882073,4,0.34782608695652173,0.4023316485730824,4,0.6208333333333333,0.1424228186045314,4,0.2898860398860399,0.33844726916499634,4,0.44166666666666665,0.5116241386596798,4,0.2637759512623679,0.057265872294428456,4,0.59375,0.1875,4,0.15833333333333333,0.05000000000000001,4,1.5833333333333333,0.5,4,0.46875,0.1875,4,0.24999999999999997,0.09999999999999999,4,1.25,0.49999999999999994,4,6.0,5.0,6.0,5.0,4.0,4.0,4.0,6.0
cross_project,AQRPE_v2_rank,0.4936115046490671,0.15199230514743303,4,0.5873333333333333,0.23814421401047448,4,0.2527170590228277,0.29287293592139624,4,0.35449275362318844,0.40953242874519336,4,0.63,0.15072663506666137,4,0.30470085470085473,0.352784442931958,4,0.42500000000000004,0.490936369113675,4,0.262778447317872,0.058077514950114484,4,0.5625,0.1613743060919757,4,0.15,0.04303314829119352,4,1.5,0.43033148291193524,4,0.46875,0.1875,4,0.24999999999999997,0.09999999999999999,4,1.25,0.49999999999999994,4,5.0,6.0,4.0,2.0,5.0,5.0,5.0,4.0
cross_project,AQRPE_v2_soft_top3,0.556822309854455,0.10642058687424064,4,0.7145,0.10499858905577591,4,0.23876017121737192,0.2770794411988091,4,0.3467568905760026,0.4006949679585668,4,0.62,0.13986766232036257,4,0.28323826239578764,0.3285372932218747,4,0.45,0.5203275321763599,4,0.22521966277410382,0.018916865293792696,4,0.53125,0.15728821740147397,4,0.14166666666666666,0.04194352464039306,4,1.4166666666666665,0.41943524640393043,4,0.53125,0.14877975892797604,4,0.2833333333333333,0.07934920476158722,4,1.4166666666666667,0.3967460238079361,4,7.0,2.0,7.0,6.0,7.0,7.0,7.0,2.0
cross_project,DT_leaf5,0.538584506566127,0.1306084714542729,4,0.6549166666666667,0.13341702234667,4,0.30654514959670864,0.198877530366793,4,0.47340138884761307,0.22907020010370516,4,0.6258333333333334,0.10918468892796412,4,0.6289377289377289,0.26544925990514406,4,0.5416666666666666,0.41755460942474565,4,0.2738700357097238,0.07950409558084794,4,0.65625,0.3125,4,0.175,0.08333333333333333,4,1.75,0.8333333333333333,4,0.5625,0.22821773229381923,4,0.3,0.12171612389003691,4,1.5,0.6085806194501845,4,2.0,4.0,2.0,4.0,2.0,2.0,2.0,7.0
cross_project,ET_leaf5,0.6565162007687384,0.044608739182077334,4,0.777,0.0022110831935702843,4,0.40916731313731514,0.035132004355634565,4,0.6371262018320842,0.05922313565497967,4,0.7033333333333334,0.027621784210346778,4,0.5848150623885918,0.05814410483029096,4,0.7416666666666667,0.19124349420065007,4,0.19667227861459172,0.009963632596110139,4,0.78125,0.11967838846954226,4,0.20833333333333334,0.031914236925211274,4,2.0833333333333335,0.3191423692521127,4,0.640625,0.09375,4,0.3416666666666667,0.05000000000000001,4,1.7083333333333333,0.25,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cross_project,LR_std_C0.1,0.5480397850851796,0.11870726584499589,4,0.6253333333333333,0.19062781266898848,4,0.26170515623568225,0.22705711988512198,4,0.35587262200165426,0.37475121695013636,4,0.6158333333333333,0.12505924521927522,4,0.5202546296296297,0.4093116927405433,4,0.4666666666666667,0.519971509191004,4,0.2461110161042421,0.02644526097231973,4,0.65625,0.11967838846954228,4,0.175,0.031914236925211274,4,1.75,0.3191423692521127,4,0.5,0.125,4,0.26666666666666666,0.06666666666666667,4,1.3333333333333333,0.3333333333333333,4,3.0,3.0,3.0,7.0,2.0,2.0,2.0,3.0
cross_project,LR_std_C1,0.4634377045402222,0.1677803583430936,4,0.5510833333333334,0.25438602555958134,4,0.20862797358333224,0.24574065291224528,4,0.32668566001899335,0.3784970547261128,4,0.605,0.12318309167281881,4,0.2801120448179272,0.3235748813040594,4,0.4,0.47453681120139163,4,0.28024413237124,0.0684069490132236,4,0.4375,0.23935677693908453,4,0.11666666666666667,0.06382847385042253,4,1.1666666666666667,0.6382847385042255,4,0.421875,0.16437222747978647,4,0.22499999999999998,0.08766518798921943,4,1.125,0.43832593994609725,4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
within_project,AQRPE_v2_balanced,0.7303075396825397,0.1256636425930304,4,0.8041666666666667,0.04383259399460968,4,0.4716417528770739,0.14925368156924557,4,0.6729166666666666,0.08907315969346649,4,0.7333333333333334,0.0805076485899413,4,0.6180555555555556,0.1119758020597021,4,0.7916666666666667,0.2097176232019653,4,0.20857915266441093,0.014394338623330559,4,0.875,0.25,4,0.29166666666666663,0.08333333333333333,4,2.333333333333333,0.6666666666666666,4,0.8125,0.125,4,0.5416666666666666,0.08333333333333327,4,2.1666666666666665,0.3333333333333331,4,2.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0
within_project,AQRPE_v2_mcc,0.7303075396825397,0.1256636425930304,4,0.8041666666666667,0.04383259399460968,4,0.4716417528770739,0.14925368156924557,4,0.6729166666666666,0.08907315969346649,4,0.7333333333333334,0.0805076485899413,4,0.6180555555555556,0.1119758020597021,4,0.7916666666666667,0.2097176232019653,4,0.20857915266441093,0.014394338623330559,4,0.875,0.25,4,0.29166666666666663,0.08333333333333333,4,2.333333333333333,0.6666666666666666,4,0.8125,0.125,4,0.5416666666666666,0.08333333333333327,4,2.1666666666666665,0.3333333333333331,4,2.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0
