Model,MCC,AP,F1,BA,P@10%,R@10%
AQRPE-bal,0.309 (0.132),0.403 (0.133),0.404 (0.130),0.667 (0.069),0.440 (0.177),0.340 (0.117)
AQRPE-MCC,0.310 (0.131),0.403 (0.133),0.402 (0.130),0.664 (0.068),0.440 (0.177),0.340 (0.117)
AQRPE-rank,0.355 (0.095),0.454 (0.116),0.448 (0.088),0.723 (0.064),0.473 (0.180),0.370 (0.122)
Soft-top-3,0.339 (0.106),0.440 (0.111),0.424 (0.096),0.695 (0.068),0.457 (0.160),0.361 (0.127)
DT-L5,0.250 (0.101),0.298 (0.104),0.361 (0.094),0.645 (0.063),0.388 (0.136),0.307 (0.113)
ET-L5,0.320 (0.157),0.420 (0.150),0.409 (0.135),0.672 (0.087),0.445 (0.211),0.342 (0.143)
LR-C0.1,0.318 (0.108),0.416 (0.132),0.396 (0.112),0.687 (0.073),0.446 (0.193),0.334 (0.078)
LR-C1,0.308 (0.097),0.413 (0.117),0.389 (0.108),0.690 (0.071),0.456 (0.195),0.341 (0.078)
