experiment,target_project,seed,selector_model,mode,selected_candidate,threshold,selection_score
cross_project,JM1,13,AQRPE_v2_mcc,mcc,ET_leaf5,0.6175,0.3942523786150614
cross_project,JM1,29,AQRPE_v2_mcc,mcc,ET_leaf5,0.6645,0.3823036429285627
cross_project,JM1,42,AQRPE_v2_mcc,mcc,ET_leaf5,0.631452,0.3208510373914749
cross_project,JM1,101,AQRPE_v2_mcc,mcc,ET_leaf5,0.453,0.3379242871837979
cross_project,KC1,7,AQRPE_v2_mcc,mcc,ET_leaf5,0.525155,0.3564159942944722
cross_project,KC1,13,AQRPE_v2_mcc,mcc,ET_leaf5,0.5,0.3266536490401747
cross_project,KC1,29,AQRPE_v2_mcc,mcc,ET_leaf5,0.5,0.3195870366870683
cross_project,KC1,42,AQRPE_v2_mcc,mcc,ET_leaf5,0.4765,0.3306276039696693
cross_project,KC1,101,AQRPE_v2_mcc,mcc,ET_leaf5,0.5705,0.339265920978127
cross_project,KC2,7,AQRPE_v2_mcc,mcc,ET_leaf5,0.5423,0.3195717046945334
cross_project,KC2,13,AQRPE_v2_mcc,mcc,ET_leaf5,0.641,0.3346954648638764
cross_project,KC2,29,AQRPE_v2_mcc,mcc,ET_leaf5,0.5705,0.3082193275634926
cross_project,KC2,42,AQRPE_v2_mcc,mcc,ET_leaf5,0.5,0.3410211127392473
cross_project,KC2,101,AQRPE_v2_mcc,mcc,ET_leaf5,0.518908,0.3197546763323016
cross_project,PC1,7,AQRPE_v2_mcc,mcc,ET_leaf5,0.633721,0.3148763816042385
cross_project,PC1,13,AQRPE_v2_mcc,mcc,ET_leaf5,0.5705,0.3154558733411993
cross_project,PC1,29,AQRPE_v2_mcc,mcc,ET_leaf5,0.453333,0.3168945512939103
cross_project,PC1,42,AQRPE_v2_mcc,mcc,ET_leaf5,0.5705,0.3425913730955355
cross_project,PC1,101,AQRPE_v2_mcc,mcc,ET_leaf5,0.547,0.3376357502926145
within_project,CM1,7,AQRPE_v2_mcc,mcc,ET_leaf5,0.641,0.3667323039608657
within_project,CM1,13,AQRPE_v2_mcc,mcc,ET_leaf5,0.504355,0.37227795760871
within_project,CM1,29,AQRPE_v2_mcc,mcc,DT_leaf5,0.03,0.3333333333333333
within_project,CM1,42,AQRPE_v2_mcc,mcc,LR_std_C1,0.4295,0.374645696313071
within_project,CM1,101,AQRPE_v2_mcc,mcc,LR_std_C0.1,0.539624,0.3483720403219641
within_project,JM1,7,AQRPE_v2_mcc,mcc,ET_leaf5,0.4765,0.3002860436456392
within_project,JM1,13,AQRPE_v2_mcc,mcc,ET_leaf5,0.540571,0.3368627207329474
within_project,JM1,29,AQRPE_v2_mcc,mcc,ET_leaf5,0.583214,0.3318860147610259
within_project,JM1,42,AQRPE_v2_mcc,mcc,ET_leaf5,0.423457,0.3060924761901354
within_project,JM1,101,AQRPE_v2_mcc,mcc,ET_leaf5,0.5705,0.370688383547454
within_project,KC1,7,AQRPE_v2_mcc,mcc,LR_std_C0.1,0.730852,0.4291305277207444
within_project,KC1,13,AQRPE_v2_mcc,mcc,DT_leaf5,0.5235,0.4659717611045618
within_project,KC1,29,AQRPE_v2_mcc,mcc,ET_leaf5,0.6645,0.3042392204642714
within_project,KC1,42,AQRPE_v2_mcc,mcc,ET_leaf5,0.5705,0.4147469076268092
within_project,KC1,101,AQRPE_v2_mcc,mcc,LR_std_C1,0.7585,0.384645168355089
within_project,KC2,7,AQRPE_v2_mcc,mcc,ET_leaf5,0.558955,0.7034650053120127
within_project,KC2,13,AQRPE_v2_mcc,mcc,LR_std_C1,0.641,0.6562571011583682
within_project,KC2,29,AQRPE_v2_mcc,mcc,DT_leaf5,0.4295,0.5411242763937422
within_project,KC2,42,AQRPE_v2_mcc,mcc,ET_leaf5,0.7585,0.7497771504927777
within_project,KC2,101,AQRPE_v2_mcc,mcc,ET_leaf5,0.517102,0.5417363388859614
within_project,PC1,7,AQRPE_v2_mcc,mcc,DT_leaf5,0.2415,0.4712503348740226
within_project,PC1,13,AQRPE_v2_mcc,mcc,ET_leaf5,0.6175,0.443764792914761
within_project,PC1,29,AQRPE_v2_mcc,mcc,ET_leaf5,0.5,0.4277184589711779
within_project,PC1,42,AQRPE_v2_mcc,mcc,DT_leaf5,0.406,0.5009592846167241
within_project,PC1,101,AQRPE_v2_mcc,mcc,ET_leaf5,0.688,0.4433697711665131
cross_project,CM1,7,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3933435276753896
cross_project,CM1,13,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3950120851626327
cross_project,CM1,29,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3855375327951705
cross_project,CM1,42,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.3986584624241198
cross_project,CM1,101,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4134729540006083
cross_project,JM1,7,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4246221551654486
cross_project,JM1,13,AQRPE_v2_rank,rank,ET_leaf5,0.5,0.4174722835580368
